Employee_ID,Age,Gender,Department,Job_Role,Education,Years_of_Experience,Monthly_Salary,Performance_Rating,Job_Satisfaction,Overtime,Attendance_Percentage,Years_at_Company,Attrition
EMP0001,36,Female,Finance,Financial Analyst,Diploma,5,58235,3,2,No,95.9,2,No
EMP0002,43,Male,HR,HR Executive,Bachelor's,14,54400,3,2,No,91.2,8,No
EMP0003,31,Male,Sales,Account Manager,Master's,7,62751,2,3,Yes,91.4,2,No
EMP0004,27,Male,Marketing,Content Specialist,Master's,5,49837,3,3,Yes,96.4,3,Yes
EMP0005,39,Female,Finance,Accountant,Master's,11,62344,3,4,No,96.8,4,No
EMP0006,31,Male,HR,Recruiter,Bachelor's,6,45550,3,3,No,86.3,2,No
EMP0007,37,Female,HR,HR Manager,Master's,10,65427,2,2,Yes,86.0,4,No
EMP0008,30,Male,Finance,Finance Manager,Bachelor's,5,74306,3,1,Yes,85.4,2,No
EMP0009,37,Male,Operations,Operations Executive,Master's,6,48578,2,2,No,83.4,1,No
EMP0010,35,Female,Marketing,Content Specialist,Master's,6,53487,4,2,Yes,92.9,3,Yes
EMP0011,44,Male,Sales,Sales Executive,Bachelor's,16,57840,2,3,Yes,84.6,6,No
EMP0012,36,Male,Engineering,QA Engineer,Diploma,11,66371,3,2,No,88.9,3,Yes
EMP0013,42,Male,HR,HR Executive,Master's,13,60771,3,4,No,86.1,6,Yes
EMP0014,28,Female,Marketing,Marketing Executive,Bachelor's,7,55839,3,3,No,94.2,5,Yes
EMP0015,24,Female,Marketing,Content Specialist,PhD,0,53224,3,2,No,94.1,0,No
EMP0016,35,Male,Sales,Account Manager,Master's,4,60567,4,2,No,95.2,1,No
EMP0017,33,Male,Engineering,Senior Engineer,Master's,6,89705,2,1,Yes,90.3,0,No
EMP0018,23,Male,Operations,Operations Executive,Bachelor's,1,48911,3,4,Yes,88.5,0,Yes
EMP0019,35,Male,Sales,Account Manager,Diploma,8,62287,2,1,No,93.6,7,Yes
EMP0020,28,Male,HR,HR Manager,Master's,2,52892,2,1,No,100.0,0,Yes
EMP0021,25,Male,Sales,Sales Manager,Bachelor's,4,58152,2,3,Yes,90.1,4,Yes
EMP0022,23,Male,Sales,Sales Manager,Bachelor's,0,62550,3,3,No,92.0,0,No
EMP0023,36,Male,HR,Recruiter,Bachelor's,8,53964,3,3,Yes,96.6,1,No
EMP0024,25,Female,Finance,Accountant,Master's,0,53992,3,4,No,90.8,0,No
EMP0025,36,Male,Engineering,QA Engineer,Bachelor's,7,69985,3,2,Yes,98.5,5,No
EMP0026,47,Male,Marketing,Marketing Executive,Master's,19,63913,3,2,No,86.1,11,No
EMP0027,32,Male,Marketing,Marketing Manager,Diploma,10,66711,2,4,No,88.5,4,No
EMP0028,34,Male,Finance,Financial Analyst,Bachelor's,4,61035,1,3,No,94.1,4,No
EMP0029,22,Male,Sales,Account Manager,Master's,0,56216,3,4,No,93.2,0,No
EMP0030,27,Male,Sales,Sales Executive,Diploma,3,47199,4,2,No,93.0,0,No
EMP0031,34,Female,Operations,Operations Manager,PhD,11,59085,4,2,Yes,98.5,5,No
EMP0032,23,Male,Engineering,Software Engineer,Diploma,0,59348,1,3,Yes,94.3,0,Yes
EMP0033,35,Female,Sales,Sales Executive,Bachelor's,10,57282,2,3,Yes,91.4,5,Yes
EMP0034,22,Male,Marketing,Marketing Executive,Bachelor's,0,46860,3,4,No,91.7,0,No
EMP0035,33,Female,Operations,Operations Manager,Master's,11,65667,4,4,No,94.0,3,No
EMP0036,37,Female,Sales,Sales Executive,Bachelor's,9,48820,2,3,No,93.6,3,No
EMP0037,44,Male,Finance,Financial Analyst,Diploma,12,65275,3,5,Yes,92.3,6,No
EMP0038,42,Female,Finance,Accountant,Bachelor's,10,57641,1,2,Yes,90.5,3,No
EMP0039,42,Male,Marketing,Marketing Manager,Master's,9,69142,4,2,No,100.0,5,No
EMP0040,45,Female,HR,HR Manager,Bachelor's,14,68921,2,3,No,93.8,5,No
EMP0041,37,Male,Marketing,Content Specialist,Master's,8,60655,4,2,Yes,77.2,1,No
EMP0042,53,Male,Finance,Financial Analyst,Master's,20,73397,3,3,No,95.3,9,No
EMP0043,41,Male,Marketing,Content Specialist,Bachelor's,16,60629,4,3,No,99.8,10,No
EMP0044,26,Male,Engineering,Engineering Manager,Bachelor's,1,89991,1,2,Yes,87.9,0,No
EMP0045,32,Female,Sales,Account Manager,Bachelor's,5,64540,3,3,No,91.6,3,No
EMP0046,27,Male,Engineering,Senior Engineer,Bachelor's,0,84217,3,3,Yes,96.5,0,No
EMP0047,32,Male,Engineering,Software Engineer,Bachelor's,4,65001,3,1,No,98.2,2,No
EMP0048,36,Female,Marketing,Marketing Manager,PhD,1,71289,1,2,No,100.0,1,No
EMP0049,35,Female,Engineering,Software Engineer,Bachelor's,13,74617,4,3,No,94.6,5,No
EMP0050,44,Female,Operations,Operations Executive,Master's,11,47157,3,2,No,84.9,6,No
EMP0051,27,Female,Sales,Account Manager,Master's,0,58628,3,2,Yes,89.3,0,No
EMP0052,44,Female,Engineering,Software Engineer,PhD,10,66252,3,2,No,86.4,4,Yes
EMP0053,38,Female,Operations,Operations Manager,Bachelor's,5,64161,1,3,No,100.0,2,No
EMP0054,47,Male,Sales,Sales Executive,Bachelor's,12,60650,3,1,No,87.5,6,No
EMP0055,33,Male,Operations,Operations Executive,Master's,2,46889,2,1,No,93.7,2,No
EMP0056,37,Female,Marketing,Marketing Manager,Bachelor's,10,76406,2,2,Yes,96.0,6,Yes
EMP0057,30,Male,Engineering,Software Engineer,Diploma,4,65470,1,2,No,91.0,0,No
EMP0058,32,Male,Sales,Sales Executive,Master's,3,49934,2,3,Yes,95.5,0,No
EMP0059,33,Male,Engineering,Senior Engineer,Master's,6,89515,4,1,No,87.4,0,No
EMP0060,36,Male,Engineering,Senior Engineer,Master's,11,96594,3,3,Yes,95.9,5,Yes
